sent_id	id1	id2	out1	out2	label
182	1250	293	The frequency of acute exacerbation	FEV1	0
354	1434	570	HbA 1c	Hyperglycaemic and hypoglycaemic distress	0
0	1001	381	the average efficacy over Seasons 1 and 2 for the prevention of culture-confirmed influenza illness due to influenza A or B virus strains antigenically matching those in the vaccine (ie vaccine-matched, culture-confirmed influenza; VMCCI)	the point estimate for the primary endpoint, efficacy of TIV against VMCCI across both influenza seasons,	1
166	237	611	Aberrant Behaviour Checklist-Community (ABC-C)	The ABC-C Irritability Subscale scores	0
141	1198	917	utilization rates	number of outpatient visits per patient	0
512	1583	982	an overall response that integrated clinical, bacteriological and radiological results, at the end of treatment (month 6) and after 12 additional months of follow-up (month 18)	bacteriology	0
152	223	830	change in weight from randomization (0-M) to 12 months post randomization	weight regain	1
212	378	277	the duration of the weaning process	PSV levels	0
185	1270	550	90-day mortality	nursing time spent for renal replacement therapy	0
237	1965	199	to test the effect of TA on the incidence of IR and VS in patients undergoing elective CPB	plasminogen activator inhibitor 1	0
126	1153	961	LV mass	LV mass-I	1
495	1567	552	retention on treatment at 1 year	Retention rates	1
276	1337	65	crossover rate	survival without supplemental oxygen or on ventilator	0
436	682	587	trial feasibility, defined by randomization of >25% of eligible patients, delivery of >75% of the prescribed CRRT dose, and follow-up of >95% of patients to 60 days	Baseline SOFA scores	0
523	1596	149	second-progression-free survival	Median overall survival	0
605	1717	365	school rule infractions	rule infractions	1
6	0	1012	the horizontal VAS according to Jensen	VAS	1
452	707	1068	health-related quality of life (HRQoL)	Groningen Activity and Restriction scale	0
575	881	372	the overall discomfort reported during WC versus SC pH-metry	the cost	0
272	1457	355	the proportion of patients who reported being sexually active at six months compared to randomization	sexual activity	1
141	1198	917	utilization rates	utilization (89.7% of patients) with COPD visits	1
217	1276	832	the number of clinical episodes of P. falciparum malaria	fever episodes	0
289	1342	740	"the percentage change in ""average pain for the past 24 hours"" NPRS scores from baseline to weeks 2 through 8"	well tolerated	0
505	782	949	the mean time to onset of the first 24-h heartburn-free period after initial dosing	pain intensity	0
141	1198	917	health care costs	outpatient costs	1
102	158	808	the mean number of detected polyps	the mean number of polyps	1
367	600	33	patient-perceived recovery (PPR) 10	patient-perceived recovery	1
698	1924	794	the anatomical knowledge (MCQ)	The final examination (OSCE)	0
314	1372	821	major adverse cardiac events (MACE) defined as a composite endpoint of cardiac death, myocardial infarction, and target vessel revascularization (TVR)	in-stent restenosis	0
720	1867	605	spontaneous preterm delivery between 34 and 37 weeks' gestation	spontaneous premature birth at < 34 and < 37 weeks' gestation	1
562	861	935	changes in lifestyle according to established goals	Unhealthy diets according to SDS	0
213	378	279	the duration of the weaning process	The duration of the automatic reduction of pressure support	0
712	1846	614	physical activity	body mass index	0
158	224	1067	'first-step' pain (measured on a 100 mm Visual Analogue Scale)	'first-step' pain	1
713	1862	922	pain severity	Verbal Rating Scale for pain (VRS)	1
378	1450	577	mean body temperature after 24 hours of treatment	body temperature	1
719	1862	928	pain severity	levels of pain	1
113	166	349	the percentage of patients who reached 25(OH)D levels of 30 ng/ml or above on day 7	response	0
607	928	389	child body mass index (BMI) z-score	fidelity	0
595	1707	535	CR	vomiting	0
122	179	455	the proportion of pregnant women who attended ANC with their partners at the subsequent antenatal visit	couple antenatal attendance	1
534	814	649	to decrease reintubation rates, defined by the necessity of mechanical positive-pressure ventilation through orotracheal intubation in the first 48 hours after extubation, in the treatment group	the reintubation rates related to NIV failure	1
416	1489	1064	PCR-corrected adequate clinical and parasitological response (ACPR) on day 28	packed cell volume	0
26	1039	155	intestinal volume	effective	0
661	1787	250	the percentage of time the temperature was out of range during the first 24 hours of treatment (defined as more than 0.2°C above or below target temperature)	out of range	1
504	1573	888	the clinical and virological effects of zidovudine in combination with lamivudine	pain	0
143	1198	920	health care costs and utilization rates	treatment costs	0
241	406	265	a dichotomous measure (occurrence of low back pain)	education	0
375	624	261	the percentage of responders according to American College of Rheumatology 50 criteria	Functional Assessment of Chronic Illness Therapy-Fatigue	0
371	607	577	HRQL	physical HRQL	1
206	360	87	the prevalence of arm, shoulder and neck symptoms	symptoms	1
68	1085	863	the levels of inflammatory cells (neutrophils, eosinophils, macrophages, and lymphocytes)	sputum eosinophils	0
300	507	872	the change from baseline to 52 weeks of carotid arterial wall volume, reflecting plaque burden, as measured by carotid cardiovascular magnetic resonance	the carotid arterial wall volume	1
287	1342	738	"the percentage change in ""average pain for the past 24 hours"" NPRS scores from baseline to weeks 2 through 8"	average pain for the past 24 hours NPRS scores	1
308	513	196	Early Treatment Failure (ETF); Late Clinical Failure (LCF); Late Parasitological Failure (LPF); Adequate Clinical and Parasitological Response (ACPR) 18	the cure rate	0
390	632	215	WOMAC Pain	Physical Function	0
605	1717	365	changes in absenteeism, school rule infractions and suspension days during the four-month pretest period prior to randomization compared with the four-month intervention period	absenteeism	0
668	1942	758	patient satisfaction	Functional outcome of the ankle joint	0
581	886	73	Major bleeding	risk of TEs	0
462	712	382	change in urinary HRQOL at 3 months	contralateral local failures	0
117	170	133	duration	severity	0
639	965	25	lung function	Forced Expiratory Volume in 1 second	0
433	1494	47	Number of headache days over a 12 week period (item A MIDAS questionnaire)	the disability	0
16	420	1039	detection of bilateral aerated middle ears (confirmed with tympanometry) at two consecutive monthly visits	the proportion of children with i) perforation at the end of therapy (27% to 12% RD = -16% [-31,-1]), ii) recurrent perforation during therapy (18% to 4% RD = -14% [-25,-2])	0
158	224	1067	'first-step' pain (measured on a 100 mm Visual Analogue Scale) and the Foot Health Status Questionnaire domains of foot pain, foot function and general foot health	general foot health	0
490	1952	16	Kinetic force platform gait analysis (PVF BW )	the CSOM	0
184	1270	549	90-day mortality	days of mechanical ventilation	0
397	1479	601	safety climate, measured using the Safety Climate Survey	responded more favorably to a majority of items on the survey	0
492	770	537	the time until shock reversal	CoQ10 levels	0
238	1965	200	to test the effect of TA on the incidence of IR and VS in patients undergoing elective CPB	VS	0
354	586	14	the American College of Rheumatology 20% improvement criteria (ACR20) response at week 24 19 20	productivity within and outside the home	0
424	1493	208	response rate	data quality	0
608	928	390	child body mass index (BMI) z-score	discouraged healthful eating and PA	0
191	1271	83	change in nutrition knowledge scores	nutrition knowledge	1
9	1016	104	blood pressure	Adherence to pedometer diary self-monitoring	0
314	1372	821	cardiac death	myocardial infarction	0
